ds,y,sentiment_avg,sales_volume
2017-07-10,17517.87,3.452830188679245,159.0
2017-07-11,19135.99,3.2333333333333334,180.0
2017-07-12,18564.4,3.154320987654321,162.0
2017-07-13,14675.49,3.2582781456953644,151.0
2017-07-14,18800.16,3.2916666666666665,168.0
2017-07-15,10880.66,3.108108108108108,111.0
2017-07-16,12627.74,2.8380281690140845,142.0
2017-07-17,21474.95,3.1581632653061225,196.0
2017-07-18,28105.0,3.0497737556561084,221.0
2017-07-19,16171.41,3.201183431952663,169.0
2017-07-20,18063.98,3.230769230769231,169.0
2017-07-21,12862.45,3.075187969924812,133.0
2017-07-22,11501.710000000001,3.0098039215686274,102.0
2017-07-23,11896.06,3.1904761904761907,105.0
2017-07-24,18513.510000000002,3.1215469613259668,181.0
2017-07-25,16789.24,3.2195121951219514,164.0
2017-07-26,11352.36,3.232876712328767,146.0
2017-07-27,15549.03,3.1386861313868613,137.0
2017-07-28,19479.260000000002,3.38255033557047,149.0
2017-07-29,15127.6,3.2661290322580645,124.0
2017-07-30,12239.630000000001,3.1953125,128.0
2017-07-31,17126.13,3.274390243902439,164.0
2017-08-01,21341.14,3.159340659340659,182.0
2017-08-02,17797.09,3.0,166.0
2017-08-03,18405.420000000002,3.3855421686746987,166.0
2017-08-04,17976.74,3.157232704402516,159.0
2017-08-05,11857.32,3.2063492063492065,126.0
2017-08-06,12969.28,3.2666666666666666,120.0
2017-08-07,23325.74,3.25,184.0
2017-08-08,18661.63,3.1320754716981134,159.0
2017-08-09,20128.37,3.352201257861635,159.0
2017-08-10,20465.44,3.1055555555555556,180.0
2017-08-11,19077.42,3.3664596273291925,161.0
2017-08-12,12429.97,3.203883495145631,103.0
2017-08-13,12244.3,3.2523364485981308,107.0
2017-08-14,18045.36,3.165714285714286,175.0
2017-08-15,23289.68,3.073529411764706,204.0
2017-08-16,21114.170000000002,3.264705882352941,204.0
2017-08-17,18015.010000000002,3.2662721893491122,169.0
2017-08-18,16854.18,3.0764331210191083,157.0
2017-08-19,12842.58,3.1147540983606556,122.0
2017-08-20,12988.98,3.0578512396694215,121.0
2017-08-21,21897.45,3.056603773584906,212.0
2017-08-22,16624.6,3.2111801242236027,161.0
2017-08-23,15873.61,2.9746835443037973,158.0
2017-08-24,13153.97,3.1631205673758864,141.0
2017-08-25,14585.41,3.0916030534351147,131.0
2017-08-26,9797.9,3.136842105263158,95.0
2017-08-27,13127.91,3.0985915492957745,142.0
2017-08-28,21472.53,3.176470588235294,170.0
2017-08-29,33771.48,3.220779220779221,154.0
2017-08-30,29274.07,3.2346938775510203,196.0
2017-08-31,19908.26,3.07185628742515,167.0
2017-09-01,28213.43,3.0555555555555554,180.0
2017-09-02,17911.76,3.2758620689655173,116.0
2017-09-03,27898.15,3.1971830985915495,142.0
2017-09-04,24840.96,3.240740740740741,162.0
2017-09-05,20674.760000000002,3.056179775280899,178.0
2017-09-06,25101.81,3.0129032258064514,155.0
2017-09-07,16893.5,3.25,104.0
2017-09-08,11604.49,3.4015151515151514,132.0
2017-09-09,14733.539999999999,3.1440677966101696,118.0
2017-09-10,17144.5,3.2885906040268456,149.0
2017-09-11,23474.76,3.134715025906736,193.0
2017-09-12,26488.53,3.219917012448133,241.0
2017-09-13,27263.48,3.150442477876106,226.0
2017-09-14,22188.87,2.9641025641025642,195.0
2017-09-15,18004.58,3.1625,160.0
2017-09-16,18965.74,3.2706766917293235,133.0
2017-09-17,20003.41,3.0437956204379564,137.0
2017-09-18,27232.01,3.0700934579439254,214.0
2017-09-19,19640.66,3.222857142857143,175.0
2017-09-20,21812.75,3.3369565217391304,184.0
2017-09-21,18251.99,3.011764705882353,170.0
2017-09-22,16177.45,3.2546583850931676,161.0
2017-09-23,9770.61,3.1770833333333335,96.0
2017-09-24,12934.65,3.161290322580645,124.0
2017-09-25,17657.72,3.098684210526316,152.0
2017-09-26,21136.6,3.3958333333333335,192.0
2017-09-27,20646.920000000002,3.132183908045977,174.0
2017-09-28,22993.12,3.104294478527607,163.0
2017-09-29,28434.8,2.89922480620155,129.0
2017-09-30,11654.6,3.1724137931034484,116.0
2017-10-01,18264.47,3.147887323943662,142.0
2017-10-02,21550.66,3.091463414634146,164.0
2017-10-03,25720.079999999998,3.0833333333333335,216.0
2017-10-04,21051.6,3.304093567251462,171.0
2017-10-05,24851.52,2.834319526627219,169.0
2017-10-06,16993.27,3.0460526315789473,152.0
2017-10-07,14941.03,3.087719298245614,114.0
2017-10-08,16742.28,3.326241134751773,141.0
2017-10-09,28940.28,3.05,220.0
2017-10-10,27879.52,3.212121212121212,198.0
2017-10-11,18895.46,3.034090909090909,176.0
2017-10-12,18352.08,3.103896103896104,154.0
2017-10-13,22361.09,3.0787878787878786,165.0
2017-10-14,13236.75,3.1825396825396823,126.0
2017-10-15,18598.06,3.1492537313432836,134.0
2017-10-16,30039.98,3.1376146788990824,218.0
2017-10-17,30126.85,3.2386363636363638,264.0
2017-10-18,27257.79,3.1838565022421523,223.0
2017-10-19,23586.37,2.9072164948453607,194.0
2017-10-20,18720.39,3.146153846153846,130.0
2017-10-21,14391.85,3.142857142857143,119.0
2017-10-22,19317.079999999998,3.0391061452513966,179.0
2017-10-23,21721.31,3.1043956043956045,182.0
2017-10-24,22034.47,3.18848167539267,191.0
2017-10-25,17492.05,3.216374269005848,171.0
2017-10-26,21253.81,3.125,176.0
2017-10-27,20318.58,3.161290322580645,155.0
2017-10-28,16389.21,3.2916666666666665,96.0
2017-10-29,17238.55,3.2732919254658386,161.0
2017-10-30,19418.96,3.1358024691358026,162.0
2017-10-31,23753.1,2.9689119170984455,193.0
2017-11-01,19363.71,3.261904761904762,126.0
2017-11-02,21074.93,3.2056737588652484,141.0
2017-11-03,22844.05,3.0236686390532546,169.0
2017-11-04,19281.55,3.1297709923664123,131.0
2017-11-05,16602.45,3.1049382716049383,162.0
2017-11-06,27673.15,3.2388059701492535,201.0
2017-11-07,19801.7,3.137142857142857,175.0
2017-11-08,18594.64,3.0309278350515463,194.0
2017-11-09,24307.55,2.9722222222222223,216.0
2017-11-10,18789.56,3.021857923497268,183.0
2017-11-11,22768.63,3.130952380952381,168.0
2017-11-12,22633.670000000002,3.156756756756757,185.0
2017-11-13,23891.35,3.004366812227074,229.0
2017-11-14,26750.95,3.1220657276995305,213.0
2017-11-15,22676.4,3.0,208.0
2017-11-16,27674.54,3.0562248995983934,249.0
2017-11-17,28881.19,2.945945945945946,222.0
2017-11-18,22823.01,3.2280701754385963,171.0
2017-11-19,20174.65,3.15819209039548,177.0
2017-11-20,43520.78,2.933333333333333,255.0
2017-11-21,33690.840000000004,3.015686274509804,255.0
2017-11-22,24038.41,3.0257510729613735,233.0
2017-11-23,43769.33,2.975683890577508,329.0
2017-11-24,151724.72,2.877115526122149,1359.0
2017-11-25,61822.11,2.8715277777777777,576.0
2017-11-26,44414.32,2.9383259911894273,454.0
2017-11-27,47981.21,2.9476987447698746,478.0
2017-11-28,47694.76,2.8524590163934427,427.0
2017-11-29,39093.09,2.8913649025069637,359.0
2017-11-30,30842.690000000002,3.1198630136986303,292.0
2017-12-01,39238.01,2.958064516129032,310.0
2017-12-02,30824.14,2.9358974358974357,234.0
2017-12-03,28825.3,2.8287937743190663,257.0
2017-12-04,45101.28,2.9472222222222224,360.0
2017-12-05,33224.77,2.889589905362776,317.0
2017-12-06,39453.17,3.1333333333333333,315.0
2017-12-07,27649.88,2.9763779527559056,254.0
2017-12-08,28848.49,2.9913793103448274,232.0
2017-12-09,19728.04,3.106508875739645,169.0
2017-12-10,24003.47,3.0295566502463056,203.0
2017-12-11,33300.840000000004,3.112627986348123,293.0
2017-12-12,33020.09,2.982698961937716,289.0
2017-12-13,29397.27,3.183206106870229,262.0
2017-12-14,24980.45,2.8862559241706163,211.0
2017-12-15,26582.62,2.98,200.0
2017-12-16,20125.39,3.035211267605634,142.0
2017-12-17,19255.62,2.9798657718120807,149.0
2017-12-18,28791.47,3.106194690265487,226.0
2017-12-19,20492.89,3.0696517412935322,201.0
2017-12-20,26854.04,3.11340206185567,194.0
2017-12-21,18256.53,2.9025974025974026,154.0
2017-12-22,14196.95,2.864,125.0
2017-12-23,11623.65,3.017857142857143,112.0
2017-12-24,5600.02,3.2033898305084745,59.0
2017-12-25,9952.53,3.1122448979591835,98.0
2017-12-26,20071.73,3.235955056179775,178.0
2017-12-27,17341.4,3.2527472527472527,182.0
2017-12-28,14647.79,3.2142857142857144,154.0
2017-12-29,15942.81,3.2847682119205297,151.0
2017-12-30,13042.65,3.25,108.0
2017-12-31,8462.88,3.04,75.0
2018-01-01,6818.31,2.9875,80.0
2018-01-02,24912.05,3.0657894736842106,228.0
2018-01-03,31061.83,3.1434426229508197,244.0
2018-01-04,34936.95,3.1355311355311355,273.0
2018-01-05,26370.19,3.168776371308017,237.0
2018-01-06,27513.73,3.0390625,256.0
2018-01-07,28320.06,3.175115207373272,217.0
2018-01-08,37698.61,3.0638297872340425,329.0
2018-01-09,30260.16,3.0148698884758365,269.0
2018-01-10,37384.96,2.9485530546623795,311.0
2018-01-11,39698.12,3.0695364238410594,302.0
2018-01-12,30701.13,3.0174825174825175,286.0
2018-01-13,27661.6,3.0635593220338984,236.0
2018-01-14,30905.53,3.187250996015936,251.0
2018-01-15,37765.71,3.02416918429003,331.0
2018-01-16,42380.82,2.8547486033519553,358.0
2018-01-17,35283.53,3.0372881355932204,295.0
2018-01-18,28007.670000000002,2.9927536231884058,276.0
2018-01-19,27261.18,3.124031007751938,258.0
2018-01-20,22282.59,3.0869565217391304,207.0
2018-01-21,21728.24,3.0434782608695654,207.0
2018-01-22,36962.36,2.945558739255014,349.0
2018-01-23,34198.17,3.1621621621621623,296.0
2018-01-24,31780.8,2.981132075471698,265.0
2018-01-25,28961.86,3.0115384615384615,260.0
2018-01-26,33598.11,2.85,260.0
2018-01-27,21650.51,2.9421965317919074,173.0
2018-01-28,22614.96,3.1728395061728394,162.0
2018-01-29,29987.56,2.9151943462897525,283.0
2018-01-30,28698.85,2.9868852459016395,305.0
2018-01-31,32620.79,3.1338028169014085,284.0
2018-02-01,30143.85,2.9431818181818183,264.0
2018-02-02,26970.420000000002,2.8844621513944224,251.0
2018-02-03,22822.170000000002,3.029268292682927,205.0
2018-02-04,23739.19,3.040909090909091,220.0
2018-02-05,35651.03,3.07741935483871,310.0
2018-02-06,33788.340000000004,2.9864864864864864,296.0
2018-02-07,31336.25,3.028368794326241,282.0
2018-02-08,27353.84,3.0511811023622046,254.0
2018-02-09,30688.97,3.1222707423580784,229.0
2018-02-10,20696.87,2.9744897959183674,196.0
2018-02-11,22074.3,2.890710382513661,183.0
2018-02-12,23343.53,2.808764940239044,251.0
2018-02-13,23551.09,2.859315589353612,263.0
2018-02-14,37225.37,3.072463768115942,345.0
2018-02-15,31462.3,3.0064935064935066,308.0
2018-02-16,26948.08,2.951020408163265,245.0
2018-02-17,24745.48,2.918552036199095,221.0
2018-02-18,24255.71,2.811158798283262,233.0
2018-02-19,27633.75,3.0902777777777777,288.0
2018-02-20,36385.7,2.980769230769231,312.0
2018-02-21,32126.74,2.9311475409836065,305.0
2018-02-22,30710.88,2.87887323943662,355.0
2018-02-23,29025.31,2.8566037735849057,265.0
2018-02-24,24548.07,2.9668246445497632,211.0
2018-02-25,29415.81,2.7925925925925927,270.0
2018-02-26,43419.36,2.851063829787234,329.0
2018-02-27,40991.98,2.884097035040431,371.0
2018-02-28,44666.24,2.777464788732394,355.0
2018-03-01,39532.85,2.855769230769231,312.0
2018-03-02,31662.05,2.8262295081967213,305.0
2018-03-03,26119.74,2.730088495575221,226.0
2018-03-04,31591.31,2.8502024291497974,247.0
2018-03-05,36871.59,2.732899022801303,307.0
2018-03-06,38322.49,2.819672131147541,305.0
2018-03-07,35468.81,2.965034965034965,286.0
2018-03-08,27616.58,2.958801498127341,267.0
2018-03-09,27246.66,2.861607142857143,224.0
2018-03-10,25262.49,2.7941176470588234,204.0
2018-03-11,31078.58,2.8771186440677967,236.0
2018-03-12,30281.16,2.88671875,256.0
2018-03-13,34400.25,2.7713178294573644,258.0
2018-03-14,22673.51,2.747863247863248,234.0
2018-03-15,42000.26,2.9558359621451102,317.0
2018-03-16,32068.99,2.7907801418439715,282.0
2018-03-17,19725.21,2.9411764705882355,187.0
2018-03-18,30637.15,3.0565217391304347,230.0
2018-03-19,43435.090000000004,2.8491620111731844,358.0
2018-03-20,35473.55,3.0144092219020173,347.0
2018-03-21,39161.08,3.0357142857142856,308.0
2018-03-22,30400.87,2.9689655172413794,290.0
2018-03-23,26706.66,3.0448979591836736,245.0
2018-03-24,23584.87,2.9732620320855614,187.0
2018-03-25,25336.31,2.90625,224.0
2018-03-26,35008.82,3.0987261146496814,314.0
2018-03-27,33609.86,3.03886925795053,283.0
2018-03-28,26972.14,3.1379310344827585,232.0
2018-03-29,28336.37,2.8807339449541285,218.0
2018-03-30,21871.83,3.060109289617486,183.0
2018-03-31,24466.83,2.8697916666666665,192.0
2018-04-01,28553.63,2.8716814159292037,226.0
2018-04-02,39041.32,3.1784615384615384,325.0
2018-04-03,36107.92,3.08,275.0
2018-04-04,36916.11,2.908127208480565,283.0
2018-04-05,35763.14,3.212328767123288,292.0
2018-04-06,26528.26,3.0390243902439025,205.0
2018-04-07,24914.1,3.066666666666667,180.0
2018-04-08,23212.85,2.9804878048780488,205.0
